名稱,地區,地址,成交數,年分,價錢
台北摩根,南京三民,松山區南京東路五段239號,共有成交214筆,14年社區住宅353戶,"88.6萬/坪
47筆在售23筆在租"
崇偉南京大樓,南京三民,松山區南京東路五段230號,共有成交66筆,40年社區住宅268戶,"70.5萬/坪
42筆在售1筆在租"
國美新美館,南京三民,松山區健康路406號,共有成交52筆,11年社區住宅114戶,"112.1萬/坪
3筆在售2筆在租"
南京新貴,南京三民,松山區,,24年社區其他,"80.7萬/坪
13筆在售"
愛琴海大廈,南京三民,松山區南京東路五段42號,共有成交123筆,33年社區住宅294戶,"85.1萬/坪
14筆在售3筆在租"
楓韻晴川,南京三民,松山區南京東路五段415號,共有成交71筆,5年社區住宅67戶,"78.7萬/坪
10筆在售"
南京尊爵,南京三民,松山區南京東路五段23巷6弄8號,共有成交33筆,27年社區住宅78戶,"85.1萬/坪
14筆在售"
南京華廈,南京三民,松山區南京東路五段123巷1弄22號,共有成交46筆,37年社區住宅207戶,"80.5萬/坪
19筆在售"
貝多芬,南京三民,松山區南京東路五段312號,共有成交37筆,33年社區住宅86戶,"71.7萬/坪
12筆在售1筆在租"
鐘鼎山林,南京三民,松山區光復北路11巷87號,共有成交36筆,33年社區住宅232戶,"83.9萬/坪
8筆在售3筆在租"
東京現代居,南京三民,松山區寶清街21號,共有成交46筆,33年社區住宅93戶,"62.4萬/坪
8筆在售1筆在租"
珍珠大樓,南京三民,松山區南京東路五段198號,共有成交31筆,39年社區住宅,"65.1萬/坪
7筆在售1筆在租"
南京商務大樓,南京三民,松山區南京東路五段399號,共有成交20筆,29年社區住宅41戶,"55.8萬/坪
4筆在售1筆在租"
民生漾,南京三民,松山區三民路38號,共有成交16筆,13年社區華廈34戶,"92.1萬/坪
5筆在售1筆在租"
鐫萃,南京三民,松山區南京東路五段32號,共有成交79筆,預售屋住宅116戶,"160.4萬/坪
熱銷中"
劍橋世貿吉星,南京三民,松山區南京東路五段330號,共有成交18筆,33年社區住宅88戶,"59.9萬/坪
5筆在售"
御上初昇,南京三民,松山區南京東路五段23巷20號,共有成交3筆,9年社區華廈6戶,"98.7萬/坪
5筆在售"
和風悦,南京三民,松山區南京東路五段291巷29弄30號,,預售屋華廈15戶,"118.5萬/坪
熱銷中"
南京慶福,南京三民,松山區南京東路五段328號,共有成交12筆,18年社區華廈34戶,"68.3萬/坪
3筆在售"
新潤峰耘,南京三民,松山區寶清街103號之5,共有成交114筆,5年社區住宅95戶,"84.5萬/坪
1筆在售1筆在租"
南京優閣,南京三民,松山區南京東路五段291巷20弄10號,共有成交5筆,21年社區華廈14戶,"75.3萬/坪
3筆在售1筆在租"
晶鑽新第大廈,南京三民,松山區八德路四段312號,共有成交23筆,18年社區華廈45戶,"107.3萬/坪
1筆在售"
健康甫園,南京三民,松山區撫遠街49號,共有成交48筆,28年社區廠辦101戶,"49.2萬/坪
2筆在售"
吉美艾麗,南京三民,松山區八德路四段480號,共有成交34筆,37年社區公寓55戶,"106.2萬/坪
熱銷中"
南京華城,南京三民,松山區八德路四段389巷1號,共有成交9筆,預售屋住宅104戶,"42.4萬/坪
2筆在售"
鴻運大樓,南京三民,松山區八德路四段123號,共有成交9筆,33年社區華廈27戶,"64.0萬/坪
2筆在售2筆在租"
敦煌大廈,南京三民,松山區寶清街105巷10號,共有成交9筆,40年社區華廈33戶,"58.4萬/坪
1筆在售"
南京經貿新鑽大樓,南京三民,松山區寶清街17號,共有成交7筆,32年社區華廈17戶,"43.1萬/坪
1筆在售"
將捷三民路案,南京三民,松山區三民路38號旁,,預推案住宅,暫無均價
宏第上海通商大樓,南京三民,松山區南京東路五段89號,,32年社區其他21戶,"100.0萬/坪
1筆在售"
詠綸湛,南京三民,松山區南京東路五段251巷30號,,預售屋華廈17戶,"130.0萬/坪
熱銷中"
新普資訊廣場大廈,南京三民,松山區八德路四段2號,共有成交6筆,32年社區商辦53戶,"70.1萬/坪
1筆在售"
南京雅曼尼大廈,南京三民,松山區南京東路五段291巷20弄4號,共有成交22筆,10年社區住宅20戶,"63.1萬/坪
2筆在售"
京華廣場,南京三民,松山區八德路四段138號,,預售屋商辦241戶,"暫無均價
熱銷中"
